slug,region,sub,title,type,beds,baths,pool,image,owner_url,status,notes
lanner-cornwall,United Kingdom,South West England,"Lanner, Cornwall",Cottage,2,2,,images/image-standard-prv-846687.webp,https://www.chybian.com/,live,
new-milton-new-forest,United Kingdom,Hampshire,"New Milton, New Forest",Cottage,3,2,,images/image-standard-prv-846683.webp,https://www.inglewoodcottage.co.uk/,live,
westward-ho-devon,United Kingdom,South West England,"Westward Ho!, Devon",Cottage,3,3,,images/image-standard-prv-846677.webp,https://www.westwardhoholidaycottage.co.uk/,live,
shefford-bedfordshire,United Kingdom,South East England,"Shefford, Bedfordshire",Farmhouse + Tennis Court,6,3,,images/image-standard-prv-846654.webp,https://thefarmhouse.polehanger.co.uk/,live,
wick-gloucestershire,United Kingdom,South West England,"Wick, Gloucestershire",Cottage (Annexe),1,1,,images/image-standard-prv-846643.webp,https://www.yewtreebath.co.uk/,live,
south-hams-devon,United Kingdom,Southern England,"South Hams, Devon",Cottage,2,1,,images/image-standard-prv-846634.webp,https://www.aprilcottage.info/,live,
portreath-cornwall,United Kingdom,South West England,"Portreath, Cornwall",House (Dog Friendly),5,2,,images/image-standard-prv-846624.webp,https://www.thecoveportreath.co.uk/,live,
st-ives-cornwall,United Kingdom,South West England,"St Ives, Cornwall",Lighthouse Style (4 Floors),2,1,,images/image-standard-prv-846620.webp,https://www.thelighthousestives.com/,live,
launceston-cornwall,United Kingdom,South West England,"Launceston, Cornwall",Barn Conversion,3,2,,images/image-standard-prv-846405.webp,https://www.crookedbarn.co.uk/,live,
appledore-kent,United Kingdom,South East England,"Appledore, Kent",Cottage,3,2,,images/image-standard-prv-846393.webp,https://www.brittonshillcottage.com/,live,
cornwall,United Kingdom,South West England,Cornwall,Apartment (Penthouse),2,2,,images/image-standard-prv-846392.webp,https://www.porthsandspenthouse.co.uk/,live,
north-devon,United Kingdom,South West England,North Devon,Cottage,3,2,,images/image-standard-prv-846389.webp,https://www.wearecottage.co.uk/,live,
bollihope-county-durham,United Kingdom,Northern England,"Bollihope, County Durham",Cottage,2,1,,images/image-standard-prv-846648.webp,https://www.weardale-cottage.co.uk/,live,
kendal-cumbria,United Kingdom,Northern England,"Kendal, Cumbria",Apartment,2,2,,images/image-standard-prv-846633.webp,https://kendalcottages.com/,live,
wilberfoss-york,United Kingdom,Yorkshire,"Wilberfoss, York",Wooden Cabin,2,1,,images/image-standard-prv-846408.webp,https://www.goldcrestcabin.com/,live,
felmoor-park-northumberland,United Kingdom,Northern England,"Felmoor Park, Northumberland",Wooden Lodge,2,1,,images/image-standard-prv-846406.webp,https://vermont-lodge.com/,live,
cumbria-lake-district,United Kingdom,Northern England,"Cumbria, Lake District",Barn Conversion,2,2,,images/image-standard-prv-846401.webp,https://www.churchhousebarn.co.uk/rates-availability,live,
cowling-yorkshire,United Kingdom,Northern England,"Cowling, Yorkshire",Cottage,1,1,,images/image-standard-prv-846396.webp,https://www.eamescottage.co.uk/,live,
sheringham-norfolk,United Kingdom,Middle England,"Sheringham, Norfolk",Apartment,2,1,,images/image-standard-prv-846661.webp,https://luxurylookoutsheringham.co.uk/,live,
south-leverton-nottinghamshire,United Kingdom,Middle England,"South Leverton, Nottinghamshire",House,7,5,,images/image-standard-prv-846632.webp,https://www.diamondhouse.org.uk/,live,
croxton-lincolnshire,United Kingdom,Middle England,"Croxton, Lincolnshire",House,4,1,,images/image-standard-prv-846391.webp,https://www.croxton-house.co.uk/,live,
minnigaff-newton-stewart,United Kingdom,Scotland,"Minnigaff, Newton Stewart",Cottage (Dog Friendly),2,1,,images/image-standard-prv-846032.webp,https://www.gallowayholidaycottage.co.uk/,live,
nr-pitlochry,United Kingdom,Scotland,Nr Pitlochry,"House + Retreat Cabin, Hot Tub (Dog Friendly)",6,5,,images/image-standard-prv-846031.webp,https://www.kinnaird-house.co.uk/,live,
wanlockhead,United Kingdom,Scotland,Wanlockhead,House (Hot Tub / Sauna),7,4,,images/image-standard-prv-846027.webp,https://beltonhouseholidayhome.co.uk/,live,
rural-angus,United Kingdom,Scotland,Rural Angus,House (Plus Annex),5,5,,images/image-standard-prv-846026.webp,https://www.kinclune.co.uk/,live,
durnamuck,United Kingdom,Scotland,Durnamuck,Cottage (Dog Friendly),3,2,,images/image-standard-prv-846025.webp,https://www.sailmhorview.co.uk/,live,
loch-earn,United Kingdom,Scotland,Loch Earn,Cottage (Dog Friendly),2,2,,images/image-standard-prv-846024.webp,https://www.stayatbriar.co.uk/briar-steading,live,
wester-ross,United Kingdom,Scotland,Wester Ross,House (Dog Friendly),4,3,,images/image-standard-prv-846020.webp,https://www.poolewebeachhouse.com/,live,
tougal-morar-estuary,United Kingdom,Scotland,"Tougal, Morar Estuary",House,2,1,,images/image-standard-prv-846019.webp,https://whitesandsmorar.com/,live,
anglesey-gwynedd,United Kingdom,North Wales,"Anglesey, Gwynedd",Cottage,2,1,,images/image-standard-prv-846615.webp,https://www.cowbellecottage.co.uk/,live,
meidrim-carmarthenshire,United Kingdom,Wales,"Meidrim, Carmarthenshire",Barn Conversion (Sauna),3,2,Private Pool,images/image-standard-prv-846610.webp,https://www.meidrim.com/,live,
y-felinheli-gwynedd,United Kingdom,North Wales,"Y Felinheli, Gwynedd",Cottage,2,1,,images/image-standard-prv-846409.webp,https://themooringscottage.com/,live,
pleamar-torrevieja,Europe,Spain,"Pleamar, Torrevieja",Villa,3,3,Private Pool,images/image-standard-prv-847223.webp,https://pleamar30holidayrental.com/,live,
rome,Europe,Italy,Rome,Apartment,2,1,,images/image-standard-prv-847222.webp,https://navona-apartment.it/,live,
cala-tarida-ibiza,Europe,Spain,"Cala Tarida, Ibiza",Villa,2,2,Private Pool,images/image-standard-prv-846902.webp,https://www.villacalatarida.nl/,live,
javea,Europe,"Costa Blanca, Spain",Javea,Villa,3,3,Private Pool,images/image-standard-prv-846860.webp,https://www.lacasarosajavea.com/,live,
parador-nerja,Europe,"Costa del Sol, Spain","Parador, Nerja",House,2,2,Communal Pool,images/image-standard-prv-846856.webp,https://www.casasolbritt.com/,live,
le-bar-sur-loup,Europe,"French Riviera, France",Le Bar-sur-Loup,Villa,6,6,Private Pool,images/image-standard-prv-846818.webp,https://www.villaspencer.com/,live,
poitou-charentes-ac5dad,Europe,France,Poitou-Charentes,Gîte,5,3,Private Pool,images/image-standard-prv-846812.webp,https://www.belleechappee.com/,live,
orihuela-costa,Europe,"Costa Blanca, Spain",Orihuela Costa,Apartment,3,2,Communal Pool,images/image-standard-prv-846808.webp,https://www.bookabitofparadise.com/,live,
meladeia-village-paphos,Europe,Cyprus,"Meladeia Village, Paphos",House,2,2,Private Pool,images/image-standard-prv-846802.webp,https://www.ithakihouse.com/,live,
poitou-charentes-580979,Europe,France,Poitou-Charentes,Farmhouse,4,3,Private Pool,images/image-standard-prv-846774.webp,https://www.lavieilleferme16150.co.uk/,live,
les-issambres-var,Europe,France,"Les Issambres, Var",Villa,4,4,Private Pool,images/image-standard-prv-846771.webp,https://www.villagladys.com/,live,
monflanquin-aquitaine,Europe,France,"Monflanquin, Aquitaine",Farmhouse,4,3,Private Pool,images/image-standard-prv-846769.webp,https://jouannoufarmhouse.com/,live,
playa-blanca-lanzarote,Europe,Canary Islands,"Playa Blanca, Lanzarote",Villa,2,1,Private Pool,images/image-standard-prv-846767.webp,https://www.lanzarote-holiday-villa.co.uk/,live,
torre-pacheco-mar-menor-golf-resort,Europe,Spain,"Torre-Pacheco, Mar Menor Golf Resort",Villa,3,3,Private Pool,images/image-standard-prv-846765.webp,https://www.villa-aguila.co.uk/,live,
st-pete-beach,USA,Florida,St Pete Beach,Condo (Apartment),2,1,,images/image-standard-prv-846018.webp,https://majesticbeachcondo.com/,live,
hernando-beach,USA,Florida,Hernando Beach,House,4,5,Private Pool,images/image-standard-prv-846017.webp,https://www.hernandohideaway.com/,live,
panama-city-beach,USA,Florida,Panama City Beach,Studio Condo (Apartment),1,1,Communal Pool,images/image-standard-prv-846015.webp,https://www.dreamalittledreampcb.com/,live,
barefoot-beach,USA,Florida,Barefoot Beach,Condo (Apartment),2,1,,images/image-standard-prv-846013.webp,https://www.mybeachshack.net/,live,
santa-rosa-beach,USA,Florida,Santa Rosa Beach,Beach House,4,3,Communal Pool,images/image-standard-prv-845951.webp,https://www.bellacosta30a.com/,live,
st-george-island,USA,Florida,St George Island,Island House,3,2,,images/image-standard-prv-845950.webp,https://www.islevaca.com/,live,
clearwater-beach,USA,Florida,Clearwater Beach,Condo (Apartment),3,2,Communal Pool,images/image-standard-prv-845949.webp,https://www.clearwaterbeachcondorental.com/,live,
disney-orlando-b5bab8,USA,Florida,"Disney, Orlando",Villa,5,3,Private Pool,images/image-standard-prv-845945.webp,https://www.villalangham.co.uk/,live,
disney-orlando-6c89c2,USA,Florida,"Disney, Orlando",Villa,3,3,Private Pool,images/image-standard-prv-845944.webp,https://www.orlandoadventurehomes.com/,live,
disney-orlando-ce1867,USA,Florida,"Disney, Orlando",Villa,5,5,Private Pool,images/image-standard-prv-845943.webp,https://www.sunsetmemoriesvilla.com/,live,
disney-orlando-04158d,USA,Florida,"Disney, Orlando",Villa,5,5,Private Pool,images/image-standard-prv-845940.webp,https://www.mariosarcadepoolhouse.com/,live,
disney-orlando-c3bec6,USA,Florida,"Disney, Orlando",Villa,4,3,Private Pool,images/image-standard-prv-845939.webp,https://serhiivilla.com/,live,
disney-orlando-f68b42,USA,Florida,"Disney, Orlando",Villa,5,4,Private Pool,images/image-standard-prv-845938.webp,https://www.calabaypalmsvilla.com/,live,
disney-orlando-34488c,USA,Florida,"Disney, Orlando",Villa,4,3,Private Pool,images/image-standard-prv-845937.webp,https://floridavillarosso.co.uk/,live,
disney-orlando-592436,USA,Florida,"Disney, Orlando",Villa,3,3,Private Pool,images/image-standard-prv-845936.webp,https://www.whbeourguest.com/,live,
disney-orlando-579556,USA,Florida,"Disney, Orlando",Villa,4,4,Private Pool,images/image-standard-prv-845935.webp,https://www.oristaendlesssummervilla.com/,live,
disney-orlando-40d098,USA,Florida,"Disney, Orlando",Villa,4,3,Private Pool,images/image-standard-prv-845933.webp,https://www.ourdisneyhouse.com/,live,
disney-orlando-bfb4af,USA,Florida,"Disney, Orlando",Villa,4,4,Private Pool,images/image-standard-prv-845930.webp,https://www.oristaendlesssummervilla.com/,live,
disney-orlando-7f89ce,USA,Florida,"Disney, Orlando",Villa,5,3,Communal Pool,images/image-standard-prv-844757.webp,https://www.sunstreamsvilla.com/,live,
